dayOfWeek,hourOfDay,P1,P2,year,month
Thursday,11,17.51556701030928,7.506804123711343,2018,2
Thursday,12,20.819595959595958,9.364141414141411,2018,2
Thursday,13,19.28655555555556,8.753000000000002,2018,2
Thursday,14,18.706428571428567,9.101938775510208,2018,2
Thursday,15,22.29422680412371,10.864226804123714,2018,2
Thursday,16,21.46929292929293,10.482020202020205,2018,2
Thursday,17,21.214062500000004,10.732187500000002,2018,2
Thursday,18,22.391700000000004,10.737499999999997,2018,2
Thursday,19,24.83562499999999,11.487499999999999,2018,2
Thursday,20,29.12696969696971,13.917474747474756,2018,2
Thursday,21,27.88443298969073,12.907113402061858,2018,2
Thursday,22,27.462929292929292,12.744343434343433,2018,2
Thursday,23,23.19773195876288,10.236391752577315,2018,2
Tuesday,0,11.165777777777778,5.550222222222226,2018,2
Tuesday,1,13.442989690721648,6.311546391752575,2018,2
Tuesday,2,12.325858585858581,5.877070707070707,2018,2
Tuesday,3,14.223608247422678,6.479793814432989,2018,2
Tuesday,4,13.983367346938783,6.660918367346937,2018,2
Tuesday,5,12.811030927835052,6.3780412371134,2018,2
Tuesday,6,13.912886597938149,6.672268041237114,2018,2
Tuesday,7,17.973367346938772,9.076530612244902,2018,2
Tuesday,8,19.547373737373743,9.67868686868687,2018,2
Tuesday,9,17.453814432989688,8.807938144329894,2018,2
Tuesday,10,13.49183673469388,6.741632653061223,2018,2
Tuesday,11,10.309285714285712,4.926632653061226,2018,2
Tuesday,12,8.93673469387755,4.224591836734694,2018,2
Tuesday,13,9.187448979591837,4.013775510204083,2018,2
Tuesday,14,9.000202020202021,3.807979797979799,2018,2
Tuesday,15,10.459072164948456,4.820309278350516,2018,2
Tuesday,16,11.467999999999996,5.467300000000002,2018,2
Tuesday,17,14.310520833333333,6.631458333333337,2018,2
Tuesday,18,15.10536082474227,7.3630927835051585,2018,2
Tuesday,19,19.10252525252525,9.653232323232325,2018,2
Tuesday,20,20.789587628865977,10.505876288659795,2018,2
Tuesday,21,19.065157894736835,9.28494736842105,2018,2
Tuesday,22,20.444242424242425,9.734040404040408,2018,2
Tuesday,23,15.313157894736841,6.564421052631578,2018,2
Wednesday,0,14.358181818181821,6.3977777777777805,2018,2
Wednesday,1,13.335729166666669,5.865000000000003,2018,2
Wednesday,2,12.029062500000002,5.314270833333332,2018,2
Wednesday,3,10.569381443298969,4.937113402061856,2018,2
Wednesday,4,10.763163265306119,5.265612244897957,2018,2
Wednesday,5,10.413541666666667,5.689374999999999,2018,2
Wednesday,6,17.742400000000004,10.0995,2018,2
Wednesday,7,17.977473684210537,10.314631578947365,2018,2
Wednesday,8,16.79585858585859,9.248484848484848,2018,2
Wednesday,9,14.954329896907213,8.205773195876288,2018,2
Wednesday,10,15.683200000000005,8.880400000000002,2018,2
Wednesday,11,15.469062500000001,9.336874999999997,2018,2
Wednesday,12,13.865353535353535,8.26040404040404,2018,2
Wednesday,13,13.311649484536083,7.935463917525775,2018,2
Wednesday,14,13.411212121212122,7.863939393939393,2018,2
Wednesday,15,18.499484536082466,10.771030927835056,2018,2
Wednesday,16,15.553402061855664,8.927525773195875,2018,2
Wednesday,17,13.13360824742268,7.597113402061856,2018,2
Wednesday,18,15.775050505050501,10.267171717171717,2018,2
Wednesday,19,22.00814432989691,13.738041237113398,2018,2
Wednesday,20,20.59515151515151,11.946565656565657,2018,2
Wednesday,21,32.79484536082475,15.518865979381436,2018,2
Wednesday,22,31.199191919191918,14.539797979797978,2018,2
Wednesday,23,28.52360824742268,13.407525773195877,2018,2
